resume_text,experience_years,role,skills,education,selected
"Web Developer with 3 years experience. Skilled in AWS, Python, PyTorch, JavaScript, Flask, Git. Education: BCA.",3,Web Developer,"AWS, Python, PyTorch, JavaScript, Flask, Git",BCA,1
"Web Developer with 2 years experience. Skilled in Deep Learning, C++, AWS, Git, Pandas, HTML. Education: BCA.",2,Web Developer,"Deep Learning, C++, AWS, Git, Pandas, HTML",BCA,0
"Backend Developer with 5 years experience. Skilled in Machine Learning, Pandas, Deep Learning, CSS, Flask, AWS, Data Analysis. Education: MCA.",5,Backend Developer,"Machine Learning, Pandas, Deep Learning, CSS, Flask, AWS, Data Analysis",MCA,0
"Frontend Developer with 3 years experience. Skilled in Django, Machine Learning, Java, CSS, SQL. Education: MCA.",3,Frontend Developer,"Django, Machine Learning, Java, CSS, SQL",MCA,0
"DevOps Engineer with 4 years experience. Skilled in Data Analysis, Pandas, SQL, Java. Education: MCA.",4,DevOps Engineer,"Data Analysis, Pandas, SQL, Java",MCA,0
"Data Scientist with 6 years experience. Skilled in Django, TensorFlow, JavaScript, SQL, Flask, React, NumPy, Machine Learning. Education: B.Tech.",6,Data Scientist,"Django, TensorFlow, JavaScript, SQL, Flask, React, NumPy, Machine Learning",B.Tech,1
"DevOps Engineer with 5 years experience. Skilled in NumPy, TensorFlow, Java, Kubernetes, Node.js, Git, C++. Education: BCA.",5,DevOps Engineer,"NumPy, TensorFlow, Java, Kubernetes, Node.js, Git, C++",BCA,0
"Frontend Developer with 3 years experience. Skilled in Python, AWS, NumPy, Docker, React, Pandas, Machine Learning. Education: M.Tech.",3,Frontend Developer,"Python, AWS, NumPy, Docker, React, Pandas, Machine Learning",M.Tech,1
"Machine Learning Engineer with 3 years experience. Skilled in Kubernetes, Flask, AWS, Machine Learning, React. Education: M.Tech.",3,Machine Learning Engineer,"Kubernetes, Flask, AWS, Machine Learning, React",M.Tech,0
"Frontend Developer with 7 years experience. Skilled in JavaScript, Git, AWS, PyTorch, NumPy, Django, Java. Education: B.Tech.",7,Frontend Developer,"JavaScript, Git, AWS, PyTorch, NumPy, Django, Java",B.Tech,1
"Data Scientist with 1 years experience. Skilled in PyTorch, Java, Data Analysis, Pandas. Education: BCA.",1,Data Scientist,"PyTorch, Java, Data Analysis, Pandas",BCA,0
"Backend Developer with 2 years experience. Skilled in Kubernetes, Data Analysis, CSS, Flask, TensorFlow. Education: M.Tech.",2,Backend Developer,"Kubernetes, Data Analysis, CSS, Flask, TensorFlow",M.Tech,0
"Frontend Developer with 7 years experience. Skilled in SQL, CSS, Machine Learning, PyTorch, NumPy. Education: M.Tech.",7,Frontend Developer,"SQL, CSS, Machine Learning, PyTorch, NumPy",M.Tech,0
"DevOps Engineer with 0 years experience. Skilled in Flask, Pandas, React, C++, Machine Learning, AWS, Kubernetes. Education: B.Tech.",0,DevOps Engineer,"Flask, Pandas, React, C++, Machine Learning, AWS, Kubernetes",B.Tech,0
"DevOps Engineer with 0 years experience. Skilled in JavaScript, HTML, React, CSS, Kubernetes, Java, Machine Learning. Education: B.Tech.",0,DevOps Engineer,"JavaScript, HTML, React, CSS, Kubernetes, Java, Machine Learning",B.Tech,0
